207.65, 42.75, 43.50, super
246.94, 42.75, 43.50, super
311.13, 42.75, 43.50, super
369.99, 42.75, 43.50, super
103.83, 42.75, 43.50, triangle
207.65, 58.75, 59.50, super
246.94, 58.75, 59.50, super
311.13, 58.75, 59.50, super
369.99, 58.75, 59.50, super
103.83, 58.75, 59.50, triangle
196.00, 11.50, 12.00, super
246.94, 11.50, 12.00, super
293.66, 11.50, 12.00, super
349.23, 11.50, 12.00, super
98.00, 11.50, 12.00, triangle
196.00, 27.50, 28.00, super
246.94, 27.50, 28.00, super
293.66, 27.50, 28.00, super
349.23, 27.50, 28.00, super
98.00, 27.50, 28.00, triangle
196.00, 43.50, 44.00, super
246.94, 43.50, 44.00, super
293.66, 43.50, 44.00, super
349.23, 43.50, 44.00, super
98.00, 43.50, 44.00, triangle
196.00, 59.50, 60.00, super
246.94, 59.50, 60.00, super
293.66, 59.50, 60.00, super
349.23, 59.50, 60.00, super
98.00, 59.50, 60.00, triangle
196.00, 14.00, 15.00, super
246.94, 14.00, 15.00, super
261.63, 14.00, 15.00, super
329.63, 14.00, 15.00, super
65.41, 14.00, 15.00, triangle
196.00, 30.00, 31.00, super
246.94, 30.00, 31.00, super
261.63, 30.00, 31.00, super
329.63, 30.00, 31.00, super
65.41, 30.00, 31.00, triangle
196.00, 46.00, 47.00, super
246.94, 46.00, 47.00, super
261.63, 46.00, 47.00, super
329.63, 46.00, 47.00, super
65.41, 46.00, 47.00, triangle
196.00, 62.00, 63.00, super
246.94, 62.00, 63.00, super
261.63, 62.00, 63.00, super
329.63, 62.00, 63.00, super
65.41, 62.00, 63.00, triangle
196.00, 15.00, 16.00, super
246.94, 15.00, 16.00, super
261.63, 15.00, 16.00, super
329.63, 15.00, 16.00, super
65.41, 15.00, 16.00, triangle
196.00, 31.00, 32.00, super
246.94, 31.00, 32.00, super
261.63, 31.00, 32.00, super
329.63, 31.00, 32.00, super
65.41, 31.00, 32.00, triangle
196.00, 47.00, 48.00, super
246.94, 47.00, 48.00, super
261.63, 47.00, 48.00, super
329.63, 47.00, 48.00, super
65.41, 47.00, 48.00, triangle
196.00, 63.00, 64.00, super
246.94, 63.00, 64.00, super
261.63, 63.00, 64.00, super
329.63, 63.00, 64.00, super
65.41, 63.00, 64.00, triangle
523.25, 13.0, 13.125, square
523.25, 13.125, 13.25, square
523.25, 13.25, 13.375, square
523.25, 13.375, 13.5, square
587.33, 13.5, 13.625, square
587.33, 13.625, 13.75, square
587.33, 13.75, 13.875, square
587.33, 13.875, 14.0, square
659.25, 14.0, 14.125, square
659.25, 14.125, 14.25, square
659.25, 14.25, 14.375, square
659.25, 14.375, 14.5, square
698.46, 14.5, 14.625, square
698.46, 14.625, 14.75, square
698.46, 14.75, 14.875, square
698.46, 14.875, 15.0, square
659.25, 15.0, 15.125, square
659.25, 15.125, 15.25, square
659.25, 15.25, 15.375, square
659.25, 15.375, 15.5, square
587.33, 15.5, 15.625, square
587.33, 15.625, 15.75, square
587.33, 15.75, 15.875, square
587.33, 15.875, 16.0, square
1046.50, 13.0, 13.125, triangle
1046.50, 13.125, 13.25, triangle
1046.50, 13.25, 13.375, triangle
1046.50, 13.375, 13.5, triangle
1174.66, 13.5, 13.625, triangle
1174.66, 13.625, 13.75, triangle
1174.66, 13.75, 13.875, triangle
1174.66, 13.875, 14.0, triangle
1318.51, 14.0, 14.125, triangle
1318.51, 14.125, 14.25, triangle
1318.51, 14.25, 14.375, triangle
1318.51, 14.375, 14.5, triangle
1396.91, 14.5, 14.625, triangle
1396.91, 14.625, 14.75, triangle
1396.91, 14.75, 14.875, triangle
1396.91, 14.875, 15.0, triangle
1318.51, 15.0, 15.125, triangle
1318.51, 15.125, 15.25, triangle
1318.51, 15.25, 15.375, triangle
1318.51, 15.375, 15.5, triangle
1174.66, 15.5, 15.625, triangle
1174.66, 15.625, 15.75, triangle
1174.66, 15.75, 15.875, triangle
1174.66, 15.875, 16.0, triangle
